qid,system,hop_count,qtype,precision,recall,f1,exact,n_pred,n_match,retr_recall,ctx_words,answer,reader,is_err
Q008,rag_bm25,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,2,2,1.0,940,"BCR, ABL1",qwen3-coder-next,False
Q008,rag_hybrid,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,2,2,1.0,941,"BCR, ABL1",qwen3-coder-next,False
Q009,graphrag,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,14,PIK3CA,qwen3-coder-next,False
Q009,rag_dense,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,959,PIK3CA,qwen3-coder-next,False
Q009,rag_bm25,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,945,PIK3CA,qwen3-coder-next,False
Q009,rag_hybrid,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,938,PIK3CA,qwen3-coder-next,False
Q010,graphrag,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,14,FGFR3,qwen3-coder-next,False
Q010,rag_dense,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,959,FGFR3,qwen3-coder-next,False
Q010,rag_bm25,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,943,FGFR3,qwen3-coder-next,False
Q010,rag_hybrid,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,950,FGFR3,qwen3-coder-next,False
Q011,graphrag,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,30,BRAF,qwen3-coder-next,False
Q011,rag_dense,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,966,BRAF,qwen3-coder-next,False
Q011,rag_bm25,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,940,BRAF,qwen3-coder-next,False
Q011,rag_hybrid,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,941,BRAF,qwen3-coder-next,False
Q012,graphrag,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,14,KRAS,qwen3-coder-next,False
Q012,rag_dense,2,drug_to_gene_cdx,0.0,0.0,0.0,0.0,0,0,0.0,892,NON DETERMINABILE,qwen3-coder-next,False
Q012,rag_bm25,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,946,KRAS,qwen3-coder-next,False
Q012,rag_hybrid,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,937,KRAS,qwen3-coder-next,False
Q013,graphrag,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,14,EGFR,qwen3-coder-next,False
Q013,rag_dense,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,965,EGFR,qwen3-coder-next,False
Q013,rag_bm25,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,941,EGFR,qwen3-coder-next,False
Q013,rag_hybrid,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,945,EGFR,qwen3-coder-next,False
Q014,graphrag,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,2,2,1.0,28,"KIT, PDGFRA",qwen3-coder-next,False
Q014,rag_dense,2,drug_to_gene_cdx,1.0,0.5,0.6666666666666666,0.0,1,1,0.5,951,KIT,qwen3-coder-next,False
Q014,rag_bm25,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,2,2,1.0,943,"KIT, PDGFRA",qwen3-coder-next,False
Q014,rag_hybrid,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,2,2,1.0,937,"KIT, PDGFRA",qwen3-coder-next,False
Q015,graphrag,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,14,EGFR,qwen3-coder-next,False
Q015,rag_dense,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,937,EGFR,qwen3-coder-next,False
Q015,rag_bm25,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,943,EGFR,qwen3-coder-next,False
Q015,rag_hybrid,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,940,EGFR,qwen3-coder-next,False
Q016,graphrag,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,29,ERBB2,qwen3-coder-next,False
Q016,rag_dense,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,947,ERBB2,qwen3-coder-next,False
Q016,rag_bm25,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,942,ERBB2,qwen3-coder-next,False
Q016,rag_hybrid,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,946,ERBB2,qwen3-coder-next,False
Q017,graphrag,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,14,IDH1,qwen3-coder-next,False
Q017,rag_dense,2,drug_to_gene_cdx,0.0,0.0,0.0,0.0,0,0,0.0,957,NON DETERMINABILE,qwen3-coder-next,False
Q017,rag_bm25,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,941,IDH1,qwen3-coder-next,False
Q017,rag_hybrid,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,952,IDH1,qwen3-coder-next,False
Q018,graphrag,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,2,2,1.0,28,"IDH1, IDH2",qwen3-coder-next,False
Q018,rag_dense,2,drug_to_gene_cdx,0.0,0.0,0.0,0.0,0,0,0.0,948,NON DETERMINABILE,qwen3-coder-next,False
Q018,rag_bm25,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,2,2,1.0,940,"IDH1, IDH2",qwen3-coder-next,False
Q018,rag_hybrid,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,2,2,1.0,936,"IDH1,IDH2",qwen3-coder-next,False
Q019,graphrag,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,14,ALK,qwen3-coder-next,False
Q019,rag_dense,2,drug_to_gene_cdx,0.0,0.0,0.0,0.0,0,0,1.0,950,NON DETERMINABILE,qwen3-coder-next,False
Q019,rag_bm25,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,945,ALK,qwen3-coder-next,False
Q019,rag_hybrid,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,946,ALK,qwen3-coder-next,False
Q020,graphrag,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,16,BRAF,qwen3-coder-next,False
Q020,rag_dense,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,952,BRAF,qwen3-coder-next,False
Q020,rag_bm25,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,947,BRAF,qwen3-coder-next,False
Q020,rag_hybrid,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,943,BRAF,qwen3-coder-next,False
Q021,graphrag,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,30,BRAF,qwen3-coder-next,False
Q021,rag_dense,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,951,BRAF,qwen3-coder-next,False
Q021,rag_bm25,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,941,BRAF,qwen3-coder-next,False
Q021,rag_hybrid,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,946,BRAF,qwen3-coder-next,False
Q022,graphrag,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,2,2,1.0,28,"RET, NTRK3",qwen3-coder-next,False
Q022,rag_dense,2,drug_to_gene_cdx,0.4,1.0,0.5714285714285715,1.0,5,2,1.0,935,"RET, NTRK3, NTRK2, NTRK1, KIF5B",qwen3-coder-next,False
Q022,rag_bm25,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,2,2,1.0,940,"RET, NTRK3",qwen3-coder-next,False
Q022,rag_hybrid,2,drug_to_gene_cdx,0.5,1.0,0.6666666666666666,1.0,4,2,1.0,941,"RET, NTRK3, NTRK2, NTRK1",qwen3-coder-next,False
Q023,graphrag,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,58,KRAS,qwen3-coder-next,False
Q023,rag_dense,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,939,KRAS,qwen3-coder-next,False
Q023,rag_bm25,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,931,KRAS,qwen3-coder-next,False
Q023,rag_hybrid,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,948,KRAS,qwen3-coder-next,False
Q024,graphrag,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,4,4,1.0,56,"NTRK1,NTRK2,NTRK3,ROS1",qwen3-coder-next,False
Q024,rag_dense,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,4,4,1.0,958,"NTRK1, NTRK2, NTRK3, ROS1",qwen3-coder-next,False
Q024,rag_bm25,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,4,4,1.0,944,"NTRK1, NTRK2, NTRK3, ROS1",qwen3-coder-next,False
Q024,rag_hybrid,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,4,4,1.0,942,"NTRK1,NTRK2,NTRK3,ROS1",qwen3-coder-next,False
Q025,graphrag,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,14,ERBB2,qwen3-coder-next,False
Q025,rag_dense,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,940,ERBB2,qwen3-coder-next,False
Q025,rag_bm25,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,942,ERBB2,qwen3-coder-next,False
Q025,rag_hybrid,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,935,ERBB2,qwen3-coder-next,False
Q026,graphrag,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,14,IDH2,qwen3-coder-next,False
Q026,rag_dense,2,drug_to_gene_cdx,0.0,0.0,0.0,0.0,0,0,0.0,955,NON DETERMINABILE,qwen3-coder-next,False
Q026,rag_bm25,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,941,IDH2,qwen3-coder-next,False
Q026,rag_hybrid,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,940,IDH2,qwen3-coder-next,False
Q027,graphrag,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,2,2,1.0,30,"BRCA1, BRCA2",qwen3-coder-next,False
Q027,rag_dense,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,2,2,1.0,952,"BRCA1, BRCA2",qwen3-coder-next,False
Q027,rag_bm25,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,2,2,1.0,934,"BRCA1, BRCA2",qwen3-coder-next,False
Q027,rag_hybrid,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,2,2,1.0,939,"BRCA1, BRCA2",qwen3-coder-next,False
Q028,graphrag,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,14,ALK,qwen3-coder-next,False
Q028,rag_dense,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,951,ALK,qwen3-coder-next,False
Q028,rag_bm25,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,940,ALK,qwen3-coder-next,False
Q028,rag_hybrid,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,934,ALK,qwen3-coder-next,False
Q029,graphrag,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,14,BRAF,qwen3-coder-next,False
Q029,rag_dense,2,drug_to_gene_cdx,0.2,1.0,0.3333333333333333,1.0,5,1,1.0,947,"BRAF, ETV5, ETV1, RASA1, CIC",qwen3-coder-next,False
Q029,rag_bm25,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,942,BRAF,qwen3-coder-next,False
Q029,rag_hybrid,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,944,BRAF,qwen3-coder-next,False
Q030,graphrag,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,14,EGFR,qwen3-coder-next,False
Q030,rag_dense,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,955,EGFR,qwen3-coder-next,False
Q030,rag_bm25,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,941,EGFR,qwen3-coder-next,False
Q030,rag_hybrid,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,936,EGFR,qwen3-coder-next,False
Q031,graphrag,2,gene_to_trialdrug,1.0,1.0,1.0,1.0,5,5,1.0,71,"ENDOXIFEN, VACCINE, NIVOLUMAB, TRIFLURIDINE, TIPIRACIL HYDROCHLORIDE",qwen3-coder-next,False
Q031,rag_dense,2,gene_to_trialdrug,0.0,0.0,0.0,0.0,15,0,0.0,956,"AP4A, ABIRATERONE ACETATE, ADENOSINE TRIPHOSPHATE, AR-C118925XX, AR-C126313, BASROPARIB, BINIMETINIB, BUPARLISIB, CELECOXIB, DACTOLISIB, DASATINIB ANHYDROUS, DECITABINE, 2-THIOUTP, 4-THIO-UTP, 5BRUTP, AP4A, ADENOSINE TRIPHOSPHATE",qwen3-coder-next,False
Q031,rag_bm25,2,gene_to_trialdrug,0.0,0.0,0.0,0.0,3,0,0.0,913,"Tegavivint, JW55, G007-LK",qwen3-coder-next,False
Q031,rag_hybrid,2,gene_to_trialdrug,0.0,0.0,0.0,0.0,0,0,0.0,918,NON DETERMINABILE,qwen3-coder-next,False
Q032,graphrag,2,gene_to_trialdrug,1.0,1.0,1.0,1.0,4,4,1.0,56,"AZD-4547, OLAPARIB, VISTUSERTIB, SELUMETINIB",qwen3-coder-next,False
Q032,rag_dense,2,gene_to_trialdrug,0.0,0.0,0.0,0.0,1,0,0.25,911,N/D,qwen3-coder-next,False
Q032,rag_bm25,2,gene_to_trialdrug,0.0,0.0,0.0,0.0,1,0,0.0,812,Nessuno,qwen3-coder-next,False
Q032,rag_hybrid,2,gene_to_trialdrug,0.0,0.0,0.0,0.0,2,0,0.0,866,"TYRA-300, Erdafitinib",qwen3-coder-next,False
Q033,graphrag,2,gene_to_trialdrug,1.0,1.0,1.0,1.0,6,6,1.0,84,"RIBOCICLIB, ALECTINIB, REGORAFENIB, TRAMETINIB, DABRAFENIB, AVAPRITINIB",qwen3-coder-next,False
Q033,rag_dense,2,gene_to_trialdrug,0.0,0.0,0.0,0.0,5,0,0.1666666666666666,938,"CETUXIMAB, FLUOROURACIL, GEMCITABINE, LYSINE, RECOMBINANT TRANSFORMING GROWTH FACTOR",qwen3-coder-next,False
Q033,rag_bm25,2,gene_to_trialdrug,0.0,0.0,0.0,0.0,0,0,0.0,864,NON DETERMINABILE,qwen3-coder-next,False
Q033,rag_hybrid,2,gene_to_trialdrug,0.0,0.0,0.0,0.0,3,0,0.0,873,"FLUOROURACIL, CETUXIMAB, PANITUMUMAB",qwen3-coder-next,False
Q034,graphrag,2,gene_to_trialdrug,1.0,1.0,1.0,1.0,5,5,1.0,71,"SAVOLITINIB, SUNITINIB, BELZUTIFAN, PROPRANOLOL HYDROCHLORIDE, PT2385",qwen3-coder-next,False
Q034,rag_dense,2,gene_to_trialdrug,0.0,0.0,0.0,0.0,0,0,0.0,921,NON DETERMINABILE,qwen3-coder-next,False
Q034,rag_bm25,2,gene_to_trialdrug,0.0,0.0,0.0,0.0,0,0,0.2,895,NON DETERMINABILE,qwen3-coder-next,False
Q034,rag_hybrid,2,gene_to_trialdrug,0.25,0.2,0.2222222222222222,0.0,4,1,0.2,905,"Belzutifan, Venetoclax, Ixazomib Citrate, Dexamethasone",qwen3-coder-next,False
Q035,graphrag,2,gene_to_trialdrug,1.0,1.0,1.0,1.0,3,3,1.0,43,"ENTRECTINIB,REPOTRECTINIB,LAROTRECTINIB SULFATE",qwen3-coder-next,False
Q035,rag_dense,2,gene_to_trialdrug,0.0,0.0,0.0,0.0,0,0,0.3333333333333333,936,NON DETERMINABILE,qwen3-coder-next,False
Q035,rag_bm25,2,gene_to_trialdrug,1.0,0.6666666666666666,0.8,0.0,2,2,0.3333333333333333,839,"Larotrectinib, Entrectinib",qwen3-coder-next,False
Q035,rag_hybrid,2,gene_to_trialdrug,1.0,0.6666666666666666,0.8,0.0,2,2,0.3333333333333333,917,"ENTRECTINIB, LAROTRECTINIB",qwen3-coder-next,False
Q036,graphrag,2,gene_to_trialdrug,1.0,1.0,1.0,1.0,3,3,1.0,43,"ENTRECTINIB, REPOTRECTINIB, LAROTRECTINIB SULFATE",qwen3-coder-next,False
Q036,rag_dense,2,gene_to_trialdrug,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,3,2,0.3333333333333333,935,"Selpercatinib, Entrectinib, Larotrectinib",qwen3-coder-next,False
Q036,rag_bm25,2,gene_to_trialdrug,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,3,2,0.6666666666666666,863,"Entrectinib, Larotrectinib, Selpercatinib",qwen3-coder-next,False
Q036,rag_hybrid,2,gene_to_trialdrug,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,3,2,0.6666666666666666,924,"Selpercatinib, Entrectinib, Larotrectinib",qwen3-coder-next,False
Q037,graphrag,2,gene_to_trialdrug,1.0,1.0,1.0,1.0,7,7,1.0,99,"AZACITIDINE, DECITABINE, VENETOCLAX, REVUMENIB, MIDOSTAURIN, CYTARABINE, DAUNORUBICIN HYDROCHLORIDE",qwen3-coder-next,False
Q037,rag_dense,2,gene_to_trialdrug,0.0,0.0,0.0,0.0,0,0,0.1428571428571428,907,NON DETERMINABILE,qwen3-coder-next,False
Q037,rag_bm25,2,gene_to_trialdrug,1.0,0.1428571428571428,0.25,0.0,1,1,0.2857142857142857,867,DECITABINE,qwen3-coder-next,False
Q037,rag_hybrid,2,gene_to_trialdrug,1.0,0.1428571428571428,0.25,0.0,1,1,0.1428571428571428,869,DECITABINE,qwen3-coder-next,False
Q038,graphrag,2,gene_to_trialdrug,1.0,1.0,1.0,1.0,8,8,1.0,113,"AFATINIB, PEMIGATINIB, FULVESTRANT, EXEMESTANE, ENFORTUMAB VEDOTIN, ERDAFITINIB, HMPL-453, TINENGOTINIB",qwen3-coder-next,False
Q038,rag_dense,2,gene_to_trialdrug,1.0,0.125,0.2222222222222222,0.0,1,1,0.5,920,Pemigatinib,qwen3-coder-next,False
Q038,rag_bm25,2,gene_to_trialdrug,0.2857142857142857,0.25,0.2666666666666666,0.0,7,2,0.375,850,"INFIGRATINIB, Pemigatinib, Erdafitinib, Fexaratinib, CGT4859, TYRA-200, JNJ-79635322",qwen3-coder-next,False
Q038,rag_hybrid,2,gene_to_trialdrug,0.25,0.125,0.1666666666666666,0.0,4,1,0.25,913,"Pemigatinib, Futibatinib, CGT4859, TYRA-200",qwen3-coder-next,False
Q039,graphrag,2,gene_to_trialdrug,1.0,1.0,1.0,1.0,10,10,1.0,140,"TAMOXIFEN, DURVALUMAB, TREMELIMUMAB, PEMBROLIZUMAB, CARBOPLATIN, CISPLATIN, NIVOLUMAB, CETUXIMAB, AFATINIB, TELAGLENASTAT",qwen3-coder-next,False
Q039,rag_dense,2,gene_to_trialdrug,0.0,0.0,0.0,0.0,0,0,0.0,937,NON DETERMINABILE,qwen3-coder-next,False
Q039,rag_bm25,2,gene_to_trialdrug,0.0,0.0,0.0,0.0,1,0,0.0,904,Nessuno,qwen3-coder-next,False
Q039,rag_hybrid,2,gene_to_trialdrug,0.0,0.0,0.0,0.0,1,0,0.0,920,N/D,qwen3-coder-next,False
Q040,graphrag,2,gene_to_trialdrug,1.0,1.0,1.0,1.0,7,7,1.0,98,"DURVALUMAB, TREMELIMUMAB, PEMBROLIZUMAB, CARBOPLATIN, CISPLATIN, NIVOLUMAB, TELAGLENASTAT",qwen3-coder-next,False
Q040,rag_dense,2,gene_to_trialdrug,0.0,0.0,0.0,0.0,0,0,0.0,937,NON DETERMINABILE,qwen3-coder-next,False
Q040,rag_bm25,2,gene_to_trialdrug,0.0,0.0,0.0,0.0,0,0,0.1428571428571428,920,NON DETERMINABILE,qwen3-coder-next,False
Q040,rag_hybrid,2,gene_to_trialdrug,0.0666666666666666,0.1428571428571428,0.0909090909090909,0.0,15,1,0.1428571428571428,905,"AFATINIB, BARDOXOLONE, BARDOXOLONE METHYL, BUTHIONINE SULFOXIMINE, CAMRELIZUMAB, CARBOPLATIN, CERITINIB, COMPOUND 10, CPUY192018, CRIZOTINIB, DIMETHYL FUMARATE, DIROXIMEL FUMARATE, FLUOROURACIL, GEFITINIB, ISOQUINOLINE 17",qwen3-coder-next,False
Q041,graphrag,2,gene_to_trialdrug,1.0,1.0,1.0,1.0,8,8,1.0,116,"CX-5461, TALAZOPARIB, BET BROMODOMAIN INHIBITOR ZEN-3694, DURVALUMAB, OLAPARIB, COPANLISIB HYDROCHLORIDE, FULVESTRANT, ELIMUSERTIB",qwen3-coder-next,False
Q041,rag_dense,2,gene_to_trialdrug,0.0,0.0,0.0,0.0,1,0,0.125,925,AMUVATINIB,qwen3-coder-next,False
Q041,rag_bm25,2,gene_to_trialdrug,0.0,0.0,0.0,0.0,5,0,0.25,909,"AMUVATINIB, AFATINIB, ICOTINIB, ERLOTINIB, GEFITINIB",qwen3-coder-next,False
Q041,rag_hybrid,2,gene_to_trialdrug,0.0,0.0,0.0,0.0,1,0,0.25,916,AMUVATINIB,qwen3-coder-next,False
Q042,graphrag,3,variant_to_drug,1.0,1.0,1.0,1.0,1,1,1.0,13,SUNITINIB,qwen3-coder-next,False
Q042,rag_dense,3,variant_to_drug,0.0,0.0,0.0,0.0,0,0,0.0,967,NON DETERMINABILE,qwen3-coder-next,False
Q042,rag_bm25,3,variant_to_drug,1.0,1.0,1.0,1.0,1,1,1.0,898,SUNITINIB,qwen3-coder-next,False
Q042,rag_hybrid,3,variant_to_drug,1.0,1.0,1.0,1.0,1,1,1.0,862,SUNITINIB,qwen3-coder-next,False
Q043,graphrag,3,variant_to_drug,1.0,1.0,1.0,1.0,3,3,1.0,39,"PALBOCICLIB, FULVESTRANT, INAVOLISIB",qwen3-coder-next,False
Q043,rag_dense,3,variant_to_drug,0.0,0.0,0.0,0.0,0,0,0.0,971,NON DETERMINABILE,qwen3-coder-next,False
Q043,rag_bm25,3,variant_to_drug,1.0,1.0,1.0,1.0,3,3,1.0,883,"FULVESTRANT, INAVOLISIB, PALBOCICLIB",qwen3-coder-next,False
Q043,rag_hybrid,3,variant_to_drug,1.0,1.0,1.0,1.0,3,3,1.0,825,"FULVESTRANT, INAVOLISIB, PALBOCICLIB",qwen3-coder-next,False
Q044,graphrag,3,variant_to_drug,1.0,1.0,1.0,1.0,2,2,1.0,39,"JQEZ5, TAZEMETOSTAT",qwen3-coder-next,False
Q044,rag_dense,3,variant_to_drug,0.0,0.0,0.0,0.0,0,0,0.0,978,NON DETERMINABILE,qwen3-coder-next,False
Q044,rag_bm25,3,variant_to_drug,1.0,1.0,1.0,1.0,2,2,1.0,878,"JQEZ5, TAZEMETOSTAT",qwen3-coder-next,False
Q044,rag_hybrid,3,variant_to_drug,1.0,1.0,1.0,1.0,2,2,1.0,888,"TAZEMETOSTAT, JQEZ5",qwen3-coder-next,False
