check_id,§25 item,found,severity,detail,evidence
CONT-11,denominatori errati,SI,P1,"Le metriche RQ1/RQ2 usano 46864 come denominatore, ma solo 16 candidate (0.034%) sono raggiungibili end-to-end perche' il retrieval e' ristretto a quelle con EvidenceBundle. Nessun artifact dichiara il denominatore end-to-end accanto a quello di popolazione.",evaluation/deliverability/rq_readiness.json
CONT-12,duplicated evaluation rows,NO,-,"Nessun file .jsonl sotto evaluation/ contiene righe duplicate.",evaluation/deliverability/raw/H01_contamination.json
CONT-13,golden set letto dal codice applicativo,NO,-,"Nessun modulo di backend/research_pipeline legge evaluation/gold/. Le sole occorrenze di gold_ sono in backend/pipeline/evidence (legacy) e dichiarano gold_used=False.",grep su backend/
CONT-14,test costruiti sugli stessi output da verificare,PARZIALE,P2,"test_v3_runtime_admission.py verifica admission.py contro il repository 3.0 prodotto da gca_v3/materialize.py. Entrambi derivano dallo stesso export. La verifica e' di coerenza interna, non contro un riferimento indipendente. Il campione manuale a 70 record che fornirebbe il riferimento esterno NON e' annotato.",evaluation/gold/rq1_gca_v3_manual_review.csv
CONT-15,self-comparison del materializzatore,NO,-,"CONTROLLO CRITICO SUPERATO. evaluation/rq1/kg_source.py legge l'export CSV grezzo e NON importa gca_v3.materialize. L'atteso di RQ1 e' costruito indipendentemente dal materializzatore che misura.",evaluation/deliverability/raw/H01_contamination.json
CONT-16,artifact legacy mischiati a v3,PARZIALE,P2,"Ambiguita' di nomenclatura, non di dati: backend/api/v3_presentation.py e' la V3 di PRODOTTO, graph_candidate_repository/3.0 e' la V3 del contratto GCA, e la Legacy V3 usa il repository 1.4. Tre assi di versionamento indipendenti che condividono la stringa v3.",docs/deliverability_audit/01_runtime_architecture.md
CONT-17,artifact sperimentali non versionati,SI,P2,"13 file untracked sotto benchmarks/mtb_evidence/exploratory/manual_v3_cases/ e manual_v3_cases_product_hardening/. Non entrano in alcuna metrica di questo audit e non possono entrare in una metrica della tesi finche' restano fuori da git.",git status --porcelain
CONT-18,percorsi assoluti dello sviluppatore negli artifact committati,SI,P3,"7 artifact committati contengono C:\\Users\\paolo\\..., fra cui evaluation/rq1_graph_candidate_fidelity/aggregate_metrics.json (kg_source.root, inventory.source_root) e graph_candidate_repository/3.0/manifest.json. Non portabile e rivela il filesystem dell'autore.",evaluation/deliverability/raw/H01_contamination.json
CONT-19,metriche misurate su un percorso diverso da quello rivendicato,SI,P0,"Le metriche RQ4 post-gate sono prodotte da run_runtime_v3_integration.py che chiama casecontext.pipeline.run direttamente, bypassando l'orchestratore. La claim riguarda il runtime; la misura riguarda la catena. Attraverso il runtime lo stesso input produce un ValueError non gestito (ISS-001).",docs/deliverability_audit/09_rq_readiness.md
CONT-20,configurazione dell'endpoint dichiarata negli artifact,NO,-,"rq4/aggregate_metrics.json registra endpoint_configuration con override_applied_by_harness=true, base_url_used, runtime_default_status e prompt_modified=false. Divulgazione esemplare. Il valore e' oggi stale (il default e' stato corretto a https://ollama.com) ma non e' occultato.",evaluation/rq4_casecontext_robustness/aggregate_metrics.json
