issue_id,severity,category,file,symbol,description,runtime_consequence,scientific_consequence,minimum_fix,blocks_freeze
ISS-011,P2,EXPERIMENTAL_GAP,evaluation/gold/rq1_gca_v3_manual_review.csv,-,"70 record stratificati pronti, colonne del revisore VUOTE. La verifica '0 violazioni su 46142 candidate' e' quindi coerenza interna fra admission.py e un repository prodotto dallo stesso export, non un confronto con un riferimento indipendente.","Nessuna.","La fedelta' semantica di v3 e' dimostrata rispetto ai METADATI della sorgente, non a un giudizio esperto. Gia' dichiarato in 13_runtime_switch_decision.md come condizione per lo switch.","Annotare il campione, oppure presentare la claim come 'fedelta' rispetto ai metadati della sorgente'.",FALSE
ISS-012,P2,EXPERIMENTAL_GAP,backend/research_pipeline/casecontext/parser.py + live_providers.parser_fn,call_parser,"Nelle 18 run LIVE di questo audit il parser ha fallito il trasporto 5 volte (28%), fra cui CASE-2 del gold set. Coerente con il benchmark congelato (FORCED_TOOL_VALID 26 su 35). Il sistema non distingue 'il modello si e' rifiutato correttamente' da 'il modello si e' guastato': entrambi producono PARSER_TRANSPORT_FAILED.","Nel 28% delle run LIVE il gate non viene mai raggiunto.","I casi PARSER_TRANSPORT_FAILED non devono essere conteggiati fra gli stop corretti del gate. La variabilita' del parser va riportata come limite misurato.","Distinguere nel vocabolario dei reason code il rifiuto deliberato del modello dal guasto di trasporto; riportare la percentuale nella tesi.",FALSE
ISS-013,P2,DOCUMENTATION_GAP,backend/research_pipeline/orchestrator.py:3-12,docstring,"Il docstring afferma che pipeline.run_case e' l'implementazione di riferimento e che 'un test confronta i due percorsi sugli stessi input'. Il test non esiste. Inoltre pipeline.run_case NON contiene lo stage 3b: le due implementazioni divergono sul gate pre-retrieval.","Nessuna: pipeline.run_case non e' raggiungibile dall'API.","Il documento che descrive la garanzia di parita' descrive una garanzia inesistente, proprio sul componente architetturale principale.","Aggiornare il docstring, oppure scrivere il test di parita' escludendo esplicitamente lo stage 3b.",FALSE
ISS-014,P2,EXPERIMENTAL_GAP,benchmarks/mtb_evidence/exploratory/manual_v3_cases*,-,"13 file untracked (input, output, summary di 4+ casi manuali) presenti nella working tree e non versionati.","Nessuna.","Non possono entrare in una metrica della tesi finche' restano fuori da git: nessun revisore potrebbe verificarli.","Committarli o rimuoverli prima del freeze.",FALSE
ISS-015,P2,ARCHITECTURAL_INCONSISTENCY,backend/api/v3_presentation.py + graph_candidate_repository/3.0 + legacy_runtime_repository 1.4,-,"Tre assi di versionamento indipendenti condividono la stringa 'v3': la V3 di prodotto, la V3 del contratto GCA, e la 'Legacy V3' che usa il repository 1.4.","Nessuna: nessun artifact e' mescolato.","Un lettore della tesi o del repository puo' concludere che 'il runtime V3' usi 'GCA v3', che e' falso.","Introdurre nella tesi una nota terminologica esplicita.",FALSE
ISS-016,P3,SOFTWARE_BUG,backend/research_pipeline/data_access.py:140-147 e 183-197,document_cache_available / describe_availability,"Il docstring dice 'Quando e' assente il runtime non fallisce: rigioca gli artefatti congelati e lo dichiara' e describe_availability restituisce stages_6_to_10_mode='FROZEN_REPLAY'. Il comportamento reale in LIVE e' FAILED/DOCUMENT_CACHE_UNAVAILABLE.","L'endpoint /config riporta al client una modalita' che non corrisponde a cio' che accade in LIVE.","Nessuna.","Allineare docstring e valore restituito al comportamento reale.",FALSE
ISS-017,P3,REPRODUCIBILITY_GAP,evaluation/run_rq1.py + evaluation/run_gca_v3_audit.py,OUT,"I due script scrivono aggregate_metrics.json nella directory committata anche quando la costante OUT viene sostituita. Verificato durante questo audit; i file sono stati ripristinati con git checkout.","Un revisore che esegua gli script sovrascrive gli artifact committati.","Nessuna, ma rende difficile un confronto non distruttivo.","Leggere OUT dentro main() invece di catturarlo a import time, oppure accettare --out.",FALSE
ISS-018,P3,REPRODUCIBILITY_GAP,7 artifact committati,-,"Contengono il percorso assoluto della macchina dell'autore (C:\Users\paolo\...), fra cui evaluation/rq1_graph_candidate_fidelity/aggregate_metrics.json (kg_source.root, inventory.source_root) e graph_candidate_repository/3.0/manifest.json.","Nessuna.","Non portabile e rivela il filesystem dell'autore in un artifact destinato alla pubblicazione.","Registrare il percorso relativo alla radice del repository.",FALSE
ISS-019,P3,SCIENTIFIC_LIMITATION,backend/research_pipeline/enrichment/validator_v2.py:59,_validate_quote,"Il farmaco richiesto deve comparire nella quote OPPURE nel testo dell'unita'. Una quote che non nomina il farmaco viene accettata come claim d'autore su quel farmaco purche' il farmaco compaia altrove nella stessa SourceUnit.","Ancoraggio piu' debole di quanto la claim suggerisca.","Deliberato (una frase puo' riferirsi al farmaco per anafora), ma da dichiarare.","Nessun fix richiesto: dichiarare il criterio nella tesi.",FALSE
ISS-020,P3,FUTURE_FEATURE,backend/research_pipeline/contracts.py:90-91,stage_14_narrator / stage_15_narrative_verifier,"Entrambi in NOT_IMPLEMENTED_STAGE_IDS. Nessun modulo narrator.py o narrative_verifier.py esiste. Chiusi SKIPPED in ogni run con artifact_origin=NOT_APPLICABLE, ed esposti come tali da GET /runs/{id}.","Nessuna.","L'ultimo tratto dell'architettura target (Dossier -> Narrator -> Narrative Verifier) non e' implementato. Preferibile a un narratore non verificato, ma va dichiarato: cio' che l'MTB vede e' il dossier strutturato reso dalla UI.","Nessun fix: dichiarare come future work.",FALSE
ISS-021,P3,DOCUMENTATION_GAP,evaluation/rq4_casecontext_robustness/aggregate_metrics.json,endpoint_configuration,"Registra runtime_default_status='HTTP_405 su /v1/chat/completions - inutilizzabile' e override_applied_by_harness=true. Il default e' stato successivamente corretto: llm_config.base_url() restituisce oggi https://ollama.com.","Nessuna.","Il valore e' stale ma non occultato. La divulgazione e' esemplare.","Nota nella tesi che l'artifact registra lo stato precedente alla correzione dell'endpoint.",FALSE
