claim_id,entity_type,query_value,claim_value,query_concept_id,claim_concept_id,literal_gate_result,ontology_match_type,ontology_distance,ontology_path,shadow_compatible_candidate,disagreement_type,confidence,notes
CLM-5ce49705979f72f174e9,intervention,amivantamab,amivantamab + carboplatin + pemetrexed,,,FAIL,UNKNOWN,,,false,ONTOLOGY_DATA_MISSING,low,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; Nessun mapping di intervento locale verificato per la coppia."
CLM-5ce532268b4aa1661311,intervention,ceritinib,crizotinib,,,FAIL,UNKNOWN,,,false,ONTOLOGY_DATA_MISSING,low,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; Nessun mapping di intervento locale verificato per la coppia."
CLM-5e39ddbd23c5746264f7,disease,Neuroblastoma,Neuroblastoma,,,PASS,UNKNOWN,,,false,ONTOLOGY_DATA_MISSING,low,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; Termine disease uguale ma non coperto da un concetto locale verificato."
CLM-6016e0878e055658200e,disease,Myeloid Neoplasm,Myeloid Neoplasm,,,PASS,UNKNOWN,,,false,ONTOLOGY_DATA_MISSING,low,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; Termine disease uguale ma non coperto da un concetto locale verificato."
CLM-7e881311485d27d190e3,disease,Breast Cancer,Breast Cancer,,,PASS,UNKNOWN,,,false,ONTOLOGY_DATA_MISSING,low,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; Termine disease uguale ma non coperto da un concetto locale verificato."
CLM-843e89b50964ca33770c,disease,Lung Small Cell Carcinoma,Lung Small Cell Carcinoma,,,PASS,UNKNOWN,,,false,ONTOLOGY_DATA_MISSING,low,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; Termine disease uguale ma non coperto da un concetto locale verificato."
CLM-887e2a4a92b7333f70e8,disease,Cancer,Cancer,,,PASS,UNKNOWN,,,false,ONTOLOGY_DATA_MISSING,low,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; Termine disease uguale ma non coperto da un concetto locale verificato."
CLM-8a0fde4cfe059b58dc01,disease,Malignant Pleural Mesothelioma,Malignant Pleural Mesothelioma,,,PASS,UNKNOWN,,,false,ONTOLOGY_DATA_MISSING,low,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; Termine disease uguale ma non coperto da un concetto locale verificato."
CLM-8a72e4c49643e7390ec7,disease,Neuroblastoma,Neuroblastoma,,,PASS,UNKNOWN,,,false,ONTOLOGY_DATA_MISSING,low,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; Termine disease uguale ma non coperto da un concetto locale verificato."
CLM-8f624d07e5180f958196,disease,High Grade Glioma,High Grade Glioma,,,PASS,UNKNOWN,,,false,ONTOLOGY_DATA_MISSING,low,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; Termine disease uguale ma non coperto da un concetto locale verificato."
CLM-90e863f00f134fc3cd3d,intervention,infigratinib,infigratinib + pd173074,,,FAIL,UNKNOWN,,,false,ONTOLOGY_DATA_MISSING,low,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; Nessun mapping di intervento locale verificato per la coppia."
CLM-9635ae8ef5a3d43f0967,disease,Adrenal Carcinoma,Adrenal Carcinoma,,,PASS,UNKNOWN,,,false,ONTOLOGY_DATA_MISSING,low,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; Termine disease uguale ma non coperto da un concetto locale verificato."
CLM-99092a3e4eb93a1319d4,disease,Transitional Cell Carcinoma,Transitional Cell Carcinoma,,,PASS,UNKNOWN,,,false,ONTOLOGY_DATA_MISSING,low,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; Termine disease uguale ma non coperto da un concetto locale verificato."
CLM-a756794f4dce5108d62c,disease,Cancer,Cancer,,,PASS,UNKNOWN,,,false,ONTOLOGY_DATA_MISSING,low,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; Termine disease uguale ma non coperto da un concetto locale verificato."
CLM-a7de634d04f61036f3ec,disease,Cancer,Cancer,,,PASS,UNKNOWN,,,false,ONTOLOGY_DATA_MISSING,low,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; Termine disease uguale ma non coperto da un concetto locale verificato."
CLM-ac64c0e56246f6ea29ca,intervention,erlotinib,erlotinib + ramucirumab,,,FAIL,UNKNOWN,,,false,ONTOLOGY_DATA_MISSING,low,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; Nessun mapping di intervento locale verificato per la coppia."
CLM-b9ff9e1341e5d8d5a432,disease,Breast Cancer,Breast Cancer,,,PASS,UNKNOWN,,,false,ONTOLOGY_DATA_MISSING,low,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; Termine disease uguale ma non coperto da un concetto locale verificato."
CLM-bb1e5f41161741c74f0d,disease,Pilocytic Astrocytoma,Pilocytic Astrocytoma,,,PASS,UNKNOWN,,,false,ONTOLOGY_DATA_MISSING,low,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; Termine disease uguale ma non coperto da un concetto locale verificato."
CLM-d3828905e361102a59a0,disease,Endometrial Cancer,Endometrial Cancer,,,PASS,UNKNOWN,,,false,ONTOLOGY_DATA_MISSING,low,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; Termine disease uguale ma non coperto da un concetto locale verificato."
CLM-d3951a629938118cac1b,disease,Cancer,Cancer,,,PASS,UNKNOWN,,,false,ONTOLOGY_DATA_MISSING,low,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; Termine disease uguale ma non coperto da un concetto locale verificato."
CLM-d9119121edc4643c966f,disease,Cancer,Cancer,,,PASS,UNKNOWN,,,false,ONTOLOGY_DATA_MISSING,low,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; Termine disease uguale ma non coperto da un concetto locale verificato."
CLM-dce0280ba32faf2db9c9,disease,Transitional Cell Carcinoma,Transitional Cell Carcinoma,,,PASS,UNKNOWN,,,false,ONTOLOGY_DATA_MISSING,low,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; Termine disease uguale ma non coperto da un concetto locale verificato."
CLM-e5528b1323d1f69569d3,disease,Stomach Carcinoma,Stomach Carcinoma,,,PASS,UNKNOWN,,,false,ONTOLOGY_DATA_MISSING,low,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; Termine disease uguale ma non coperto da un concetto locale verificato."
CLM-ea3f6c4227ec08639404,disease,Breast Cancer,Breast Cancer,,,PASS,UNKNOWN,,,false,ONTOLOGY_DATA_MISSING,low,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; Termine disease uguale ma non coperto da un concetto locale verificato."
CLM-f540c99392aa5b560a22,disease,Neuroblastoma,Neuroblastoma,,,PASS,UNKNOWN,,,false,ONTOLOGY_DATA_MISSING,low,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; Termine disease uguale ma non coperto da un concetto locale verificato."
CLM-8941c177da91f66ff93a,disease,Cholangiocarcinoma,Intrahepatic Cholangiocarcinoma,,,FAIL,DESCENDANT,1,disease:cca -> disease:icca,true,LITERAL_FAIL_ONTOLOGY_HIERARCHICAL,high,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; La claim ̬ un descendant della disease query in una gerarchia locale esplicita; non ̬ equivalenza clinica."
CLM-a7e1c40b794d2c4d4ca8,disease,Cholangiocarcinoma,Intrahepatic Cholangiocarcinoma,,,FAIL,DESCENDANT,1,disease:cca -> disease:icca,true,LITERAL_FAIL_ONTOLOGY_HIERARCHICAL,high,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; La claim ̬ un descendant della disease query in una gerarchia locale esplicita; non ̬ equivalenza clinica."
