candidate_id,rule,source_evidence_direction,source_significance,graph_direction,source_support_polarity,source_supported_direction,source_alignment_status,predicate
GCA3-3978caabc164d25524a78935,gca/3.0/evidence-to-intervention,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,associated_with_sensitivity_to
GCA3-83c62bc09e0b45d473cc703d,gca/3.0/evidence-statement,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,has_evidence_statement
GCA3-aa6a2cf54bd0b2da45753eb1,gca/3.0/evidence-to-intervention,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,associated_with_sensitivity_to
GCA3-d1e50153d565c91eb6831c6a,gca/3.0/evidence-statement,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,has_evidence_statement
GCA3-9f4cc416b8301de75910c15c,gca/3.0/evidence-to-intervention,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,associated_with_sensitivity_to
GCA3-4cfb1496b79d40254c740d00,gca/3.0/evidence-statement,Does Not Support,Poor Outcome,POOR_OUTCOME,DOES_NOT_SUPPORT_ASSERTION,,SOURCE_DOES_NOT_SUPPORT,has_evidence_statement
GCA3-6949a77fef81a32373ce00fc,gca/3.0/evidence-statement,Supports,Poor Outcome,POOR_OUTCOME,SUPPORTS_ASSERTION,POOR_OUTCOME,SOURCE_ALIGNED,has_evidence_statement
GCA3-ab25a5ac143562048d2eaa5a,gca/3.0/evidence-statement,Supports,Poor Outcome,POOR_OUTCOME,SUPPORTS_ASSERTION,POOR_OUTCOME,SOURCE_ALIGNED,has_evidence_statement
GCA3-d3b68eaa97cc8be9cc4a1809,gca/3.0/evidence-statement,Supports,Poor Outcome,POOR_OUTCOME,SUPPORTS_ASSERTION,POOR_OUTCOME,SOURCE_ALIGNED,has_evidence_statement
GCA3-005913347090462154f7f304,gca/3.0/evidence-statement,Supports,Positive,POSITIVE,SUPPORTS_ASSERTION,POSITIVE,SOURCE_ALIGNED,has_evidence_statement
GCA3-e8a490f91f10c236efcd5337,gca/3.0/evidence-statement,Supports,Positive,POSITIVE,SUPPORTS_ASSERTION,POSITIVE,SOURCE_ALIGNED,has_evidence_statement
GCA3-8cb4617b1a18056552e8cc47,gca/3.0/evidence-statement,Supports,Resistance,RESISTANCE,SUPPORTS_ASSERTION,RESISTANCE,SOURCE_ALIGNED,has_evidence_statement
GCA3-ae454da730c1fe32fffdcf3f,gca/3.0/evidence-to-intervention,Supports,Resistance,RESISTANCE,SUPPORTS_ASSERTION,RESISTANCE,SOURCE_ALIGNED,associated_with_resistance_to
GCA3-19df34be6cbe644078b3f376,gca/3.0/evidence-statement,Supports,Resistance,RESISTANCE,SUPPORTS_ASSERTION,RESISTANCE,SOURCE_ALIGNED,has_evidence_statement
GCA3-90c383f4392a64891ee5ed9c,gca/3.0/evidence-to-intervention,Supports,Resistance,RESISTANCE,SUPPORTS_ASSERTION,RESISTANCE,SOURCE_ALIGNED,associated_with_resistance_to
GCA3-5e54ab40b9f391a6788a6f8f,gca/3.0/evidence-statement,Supports,Resistance,RESISTANCE,SUPPORTS_ASSERTION,RESISTANCE,SOURCE_ALIGNED,has_evidence_statement
GCA3-1ec889bcc6b0ef3e3592f8aa,gca/3.0/evidence-to-intervention,Supports,Resistance,RESISTANCE,SUPPORTS_ASSERTION,RESISTANCE,SOURCE_ALIGNED,associated_with_resistance_to
GCA3-e9e30fe334e2df1fd69084a2,gca/3.0/evidence-statement,Supports,Resistance,RESISTANCE,SUPPORTS_ASSERTION,RESISTANCE,SOURCE_ALIGNED,has_evidence_statement
GCA3-2f741f597c67a77c1c2e281d,gca/3.0/evidence-to-intervention,Supports,Resistance,RESISTANCE,SUPPORTS_ASSERTION,RESISTANCE,SOURCE_ALIGNED,associated_with_resistance_to
GCA3-99059c4969a4c43b3f46cdde,gca/3.0/evidence-statement,Supports,Resistance,RESISTANCE,SUPPORTS_ASSERTION,RESISTANCE,SOURCE_ALIGNED,has_evidence_statement
GCA3-8a1492d45bb2b48c62cebda6,gca/3.0/evidence-to-intervention,Supports,Resistance,RESISTANCE,SUPPORTS_ASSERTION,RESISTANCE,SOURCE_ALIGNED,associated_with_resistance_to
GCA3-b462f540244b456854c6fa63,gca/3.0/evidence-statement,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,has_evidence_statement
GCA3-c47d375fec938f0718c53e9b,gca/3.0/evidence-to-intervention,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,associated_with_sensitivity_to
GCA3-43ec23937a9d2f311207321d,gca/3.0/evidence-statement,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,has_evidence_statement
GCA3-d363f321cf6bda7385b65dd0,gca/3.0/evidence-to-intervention,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,associated_with_sensitivity_to
GCA3-8f343f5e4c1767ceac01d4bd,gca/3.0/evidence-statement,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,has_evidence_statement
GCA3-0ce741728688a8e1a793810e,gca/3.0/evidence-to-intervention,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,associated_with_sensitivity_to
GCA3-7c81f57f5e746fe38277bd9d,gca/3.0/evidence-statement,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,has_evidence_statement
GCA3-576db68b103450a7dfcbea98,gca/3.0/evidence-to-intervention,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,associated_with_sensitivity_to
GCA3-ad19ab187656b3b8278e506f,gca/3.0/evidence-statement,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,has_evidence_statement
GCA3-65c77510ab3f707a7f1c0cfa,gca/3.0/evidence-to-intervention,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,associated_with_sensitivity_to
GCA3-4b2937a67dae079b423c54c7,gca/3.0/evidence-statement,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,has_evidence_statement
GCA3-ff58c5adaf501df494063916,gca/3.0/evidence-to-intervention,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,associated_with_sensitivity_to
GCA3-0d05b7fb3f738536cd1261df,gca/3.0/evidence-statement,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,has_evidence_statement
GCA3-051a3505df08a48bc8174ecd,gca/3.0/evidence-to-intervention,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,associated_with_sensitivity_to
GCA3-8d515ef63c101fcd770c626f,gca/3.0/evidence-statement,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,has_evidence_statement
GCA3-bf2f6a25257a6131afb003e4,gca/3.0/evidence-to-intervention,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,associated_with_sensitivity_to
GCA3-7c6fae6d558cee4b630978ab,gca/3.0/evidence-statement,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,has_evidence_statement
GCA3-5033cd7dca17fee23d747057,gca/3.0/evidence-to-intervention,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,associated_with_sensitivity_to
GCA3-2f9c493c004243e39f574fd9,gca/3.0/evidence-statement,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,has_evidence_statement
GCA3-da9300b4fa764120262f2ae3,gca/3.0/evidence-to-intervention,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,associated_with_sensitivity_to
GCA3-7816d60f25253539031f4c97,gca/3.0/evidence-statement,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,has_evidence_statement
GCA3-18bfd82e35941bbb27999946,gca/3.0/evidence-to-intervention,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,associated_with_sensitivity_to
GCA3-8d9e229b96f9aa3a59fdd06a,gca/3.0/evidence-statement,Supports,Resistance,RESISTANCE,SUPPORTS_ASSERTION,RESISTANCE,SOURCE_ALIGNED,has_evidence_statement
GCA3-5acc42a7f7bece940821d713,gca/3.0/evidence-to-intervention,Supports,Resistance,RESISTANCE,SUPPORTS_ASSERTION,RESISTANCE,SOURCE_ALIGNED,associated_with_resistance_to
GCA3-a798d5d4267a1e18659a5ab0,gca/3.0/evidence-statement,Does Not Support,,UNKNOWN,DOES_NOT_SUPPORT_ASSERTION,,SOURCE_DOES_NOT_SUPPORT,has_evidence_statement
GCA3-26c862577abfa74518785e41,gca/3.0/evidence-statement,Does Not Support,Poor Outcome,POOR_OUTCOME,DOES_NOT_SUPPORT_ASSERTION,,SOURCE_DOES_NOT_SUPPORT,has_evidence_statement
GCA3-15193841225e2a2234938852,gca/3.0/evidence-statement,Does Not Support,,UNKNOWN,DOES_NOT_SUPPORT_ASSERTION,,SOURCE_DOES_NOT_SUPPORT,has_evidence_statement
GCA3-e81afe1921823d81e08a590a,gca/3.0/evidence-statement,Does Not Support,,UNKNOWN,DOES_NOT_SUPPORT_ASSERTION,,SOURCE_DOES_NOT_SUPPORT,has_evidence_statement
GCA3-dc7689a831ddaab104a95891,gca/3.0/evidence-statement,Does Not Support,,UNKNOWN,DOES_NOT_SUPPORT_ASSERTION,,SOURCE_DOES_NOT_SUPPORT,has_evidence_statement
GCA3-dca84a6da72d13f09791f9d3,gca/3.0/evidence-statement,Does Not Support,,UNKNOWN,DOES_NOT_SUPPORT_ASSERTION,,SOURCE_DOES_NOT_SUPPORT,has_evidence_statement
GCA3-bf0caa75d0d079f5ac13df69,gca/3.0/evidence-statement,Does Not Support,,UNKNOWN,DOES_NOT_SUPPORT_ASSERTION,,SOURCE_DOES_NOT_SUPPORT,has_evidence_statement
GCA3-af241afd1fe1e604dd54fefb,gca/3.0/evidence-statement,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,has_evidence_statement
GCA3-b80b8ce487573120251f96ee,gca/3.0/evidence-to-intervention,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,associated_with_sensitivity_to
GCA3-245c1adc6c5084bfe8764bfb,gca/3.0/evidence-statement,Supports,Poor Outcome,POOR_OUTCOME,SUPPORTS_ASSERTION,POOR_OUTCOME,SOURCE_ALIGNED,has_evidence_statement
GCA3-f7bf9b67adfec1e42b10dd45,gca/3.0/evidence-statement,Supports,Poor Outcome,POOR_OUTCOME,SUPPORTS_ASSERTION,POOR_OUTCOME,SOURCE_ALIGNED,has_evidence_statement
GCA3-585cf6a9ba22b84e36679f91,gca/3.0/evidence-statement,Supports,Poor Outcome,POOR_OUTCOME,SUPPORTS_ASSERTION,POOR_OUTCOME,SOURCE_ALIGNED,has_evidence_statement
GCA3-ad8b349ee45a486d622b5616,gca/3.0/evidence-statement,Supports,Poor Outcome,POOR_OUTCOME,SUPPORTS_ASSERTION,POOR_OUTCOME,SOURCE_ALIGNED,has_evidence_statement
GCA3-4348075cd88a7ea590455967,gca/3.0/evidence-statement,Supports,Poor Outcome,POOR_OUTCOME,SUPPORTS_ASSERTION,POOR_OUTCOME,SOURCE_ALIGNED,has_evidence_statement
GCA3-a0749184c01708d4e2130086,gca/3.0/evidence-statement,Supports,Poor Outcome,POOR_OUTCOME,SUPPORTS_ASSERTION,POOR_OUTCOME,SOURCE_ALIGNED,has_evidence_statement
GCA3-7df5ebc56a96818d060f2dba,gca/3.0/evidence-statement,Supports,Poor Outcome,POOR_OUTCOME,SUPPORTS_ASSERTION,POOR_OUTCOME,SOURCE_ALIGNED,has_evidence_statement
GCA3-71361110ecb4d42f04c6f18b,gca/3.0/evidence-statement,Supports,Poor Outcome,POOR_OUTCOME,SUPPORTS_ASSERTION,POOR_OUTCOME,SOURCE_ALIGNED,has_evidence_statement
GCA3-7725a7216de3df8769c4c0b4,gca/3.0/evidence-statement,Supports,Poor Outcome,POOR_OUTCOME,SUPPORTS_ASSERTION,POOR_OUTCOME,SOURCE_ALIGNED,has_evidence_statement
GCA3-f7ddc0d741e4e2d60d37feec,gca/3.0/evidence-statement,Supports,Poor Outcome,POOR_OUTCOME,SUPPORTS_ASSERTION,POOR_OUTCOME,SOURCE_ALIGNED,has_evidence_statement
GCA3-1bff1d8e2f4f32e4bb815644,gca/3.0/evidence-statement,Supports,Poor Outcome,POOR_OUTCOME,SUPPORTS_ASSERTION,POOR_OUTCOME,SOURCE_ALIGNED,has_evidence_statement
GCA3-2e487fc73f9bd8277eb65593,gca/3.0/evidence-statement,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,has_evidence_statement
GCA3-ae457885a14900f48ffdd2e8,gca/3.0/evidence-to-intervention,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,associated_with_sensitivity_to
GCA3-18821f9ec78efa78f11280d2,gca/3.0/evidence-statement,Supports,Poor Outcome,POOR_OUTCOME,SUPPORTS_ASSERTION,POOR_OUTCOME,SOURCE_ALIGNED,has_evidence_statement
GCA3-fc21be5372f6e8c0c88119fd,gca/3.0/evidence-statement,Supports,Resistance,RESISTANCE,SUPPORTS_ASSERTION,RESISTANCE,SOURCE_ALIGNED,has_evidence_statement
GCA3-1035a90ee603187f43b13006,gca/3.0/evidence-to-intervention,Supports,Resistance,RESISTANCE,SUPPORTS_ASSERTION,RESISTANCE,SOURCE_ALIGNED,associated_with_resistance_to
GCA3-ade9f6f553c1761193fde55d,gca/3.0/evidence-statement,Supports,Resistance,RESISTANCE,SUPPORTS_ASSERTION,RESISTANCE,SOURCE_ALIGNED,has_evidence_statement
GCA3-27117db692a80ed6b66fbff2,gca/3.0/evidence-to-intervention,Supports,Resistance,RESISTANCE,SUPPORTS_ASSERTION,RESISTANCE,SOURCE_ALIGNED,associated_with_resistance_to
GCA3-3e115e8619bd429a472789a0,gca/3.0/evidence-statement,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,has_evidence_statement
GCA3-ee5366ae31a7b878eb6a7d9b,gca/3.0/evidence-to-intervention,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,associated_with_sensitivity_to
GCA3-ea6a640a71f166b794570973,gca/3.0/evidence-statement,Supports,Poor Outcome,POOR_OUTCOME,SUPPORTS_ASSERTION,POOR_OUTCOME,SOURCE_ALIGNED,has_evidence_statement
GCA3-5202ed248876352c3f9dc151,gca/3.0/evidence-statement,Supports,Positive,POSITIVE,SUPPORTS_ASSERTION,POSITIVE,SOURCE_ALIGNED,has_evidence_statement
GCA3-b7560267d7998be7c55a2603,gca/3.0/evidence-statement,Supports,Positive,POSITIVE,SUPPORTS_ASSERTION,POSITIVE,SOURCE_ALIGNED,has_evidence_statement
GCA3-413bbbd8fbedc56bb5722f58,gca/3.0/evidence-statement,Does Not Support,Poor Outcome,POOR_OUTCOME,DOES_NOT_SUPPORT_ASSERTION,,SOURCE_DOES_NOT_SUPPORT,has_evidence_statement
GCA3-3393b8f5f4de24b1b012f1f6,gca/3.0/evidence-statement,Does Not Support,Resistance,RESISTANCE,DOES_NOT_SUPPORT_ASSERTION,,SOURCE_DOES_NOT_SUPPORT,has_evidence_statement
GCA3-c3e70c88436469cfee63d429,gca/3.0/evidence-statement,Does Not Support,Resistance,RESISTANCE,DOES_NOT_SUPPORT_ASSERTION,,SOURCE_DOES_NOT_SUPPORT,has_evidence_statement
GCA3-84a94e34061076e55d036b81,gca/3.0/evidence-to-intervention,Does Not Support,Resistance,RESISTANCE,DOES_NOT_SUPPORT_ASSERTION,,SOURCE_DOES_NOT_SUPPORT,associated_with_resistance_to
GCA3-e9fd60fee8fb620c62e64cfa,gca/3.0/evidence-statement,Does Not Support,Sensitivity/Response,SENSITIVITY,DOES_NOT_SUPPORT_ASSERTION,,SOURCE_DOES_NOT_SUPPORT,has_evidence_statement
GCA3-8a2d35e8ba8988eb65c4ce4d,gca/3.0/evidence-statement,Supports,Resistance,RESISTANCE,SUPPORTS_ASSERTION,RESISTANCE,SOURCE_ALIGNED,has_evidence_statement
GCA3-b98bd0bab966f397ccb606e8,gca/3.0/evidence-to-intervention,Supports,Resistance,RESISTANCE,SUPPORTS_ASSERTION,RESISTANCE,SOURCE_ALIGNED,associated_with_resistance_to
GCA3-16e4c41280a29fc58eff7848,gca/3.0/evidence-statement,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,has_evidence_statement
GCA3-e8c1d1b326eee4efe9caa087,gca/3.0/evidence-to-intervention,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,associated_with_sensitivity_to
GCA3-5a98cc15e63cf42f8eec64ae,gca/3.0/evidence-statement,Supports,Resistance,RESISTANCE,SUPPORTS_ASSERTION,RESISTANCE,SOURCE_ALIGNED,has_evidence_statement
GCA3-799c89e1111ae6cdaedece50,gca/3.0/evidence-to-intervention,Supports,Resistance,RESISTANCE,SUPPORTS_ASSERTION,RESISTANCE,SOURCE_ALIGNED,associated_with_resistance_to
GCA3-d59848b100b81d5dc2f9252a,gca/3.0/evidence-statement,Supports,Resistance,RESISTANCE,SUPPORTS_ASSERTION,RESISTANCE,SOURCE_ALIGNED,has_evidence_statement
GCA3-03367797ae8934b135f05d36,gca/3.0/evidence-to-intervention,Supports,Resistance,RESISTANCE,SUPPORTS_ASSERTION,RESISTANCE,SOURCE_ALIGNED,associated_with_resistance_to
GCA3-4868ecdfb2681915e7246a7f,gca/3.0/evidence-statement,Supports,Resistance,RESISTANCE,SUPPORTS_ASSERTION,RESISTANCE,SOURCE_ALIGNED,has_evidence_statement
GCA3-f369318c37f74566d3a7a5f3,gca/3.0/evidence-to-intervention,Supports,Resistance,RESISTANCE,SUPPORTS_ASSERTION,RESISTANCE,SOURCE_ALIGNED,associated_with_resistance_to
GCA3-45447c38c1fc4453b502123b,gca/3.0/evidence-statement,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,has_evidence_statement
GCA3-4f1e6e304cfbe486a7fc082f,gca/3.0/evidence-to-intervention,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,associated_with_sensitivity_to
GCA3-f8fbc3968aa39fafc1530378,gca/3.0/evidence-statement,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,has_evidence_statement
GCA3-a51691bf6afe38420c67479b,gca/3.0/evidence-to-intervention,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,associated_with_sensitivity_to
GCA3-eb1aa4df86bf6174067cac0d,gca/3.0/evidence-statement,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,has_evidence_statement
GCA3-1a50162b0a2222fb575a98f8,gca/3.0/evidence-to-intervention,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,associated_with_sensitivity_to
GCA3-c23a094e68b6419fe5e83c12,gca/3.0/evidence-statement,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,has_evidence_statement
GCA3-de3b3bba3f724c81ca1f89ab,gca/3.0/evidence-to-intervention,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,associated_with_sensitivity_to
GCA3-9cc4794a39c60a24a8306c00,gca/3.0/evidence-statement,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,has_evidence_statement
GCA3-4618d957dbd993ee66223274,gca/3.0/evidence-to-intervention,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,associated_with_sensitivity_to
GCA3-1f027778f6cfed4a7134d9ce,gca/3.0/evidence-statement,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,has_evidence_statement
