claim_id,claim_domain,claim_type,direction,graph_evidence_id,graph_escat_status,claim_escat_status,source_unit_escat_status,coverage_class,notes
CLM-1ee5f9a16a678cebf993,therapeutic,atomic_intervention_claim,sensitivity,evidence:4294,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-1fc4af943701d57d45ad,therapeutic,atomic_intervention_claim,sensitivity,evidence:229,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-20292f9f996547b64fc1,therapeutic,atomic_intervention_claim,resistance,evidence:767,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-223c1a096e9c2bc4468d,therapeutic,atomic_intervention_claim,resistance,evidence:100004,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-2617b2ea2379aff519b2,therapeutic,atomic_intervention_claim,sensitivity,evidence:1352,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-29aec477ec47a23eec35,therapeutic,atomic_intervention_claim,resistance,evidence:440,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-2af742d7109f4b5d3c4f,therapeutic,atomic_intervention_claim,resistance,evidence:33,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-2b2bbb0ab0316ff848a8,therapeutic,atomic_intervention_claim,sensitivity,evidence:1397,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-2cafbc4185d367ed50bd,therapeutic,atomic_intervention_claim,sensitivity,evidence:12542,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-2ef645b79a7d21ef1136,therapeutic,atomic_intervention_claim,resistance,evidence:237,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-2f29179857d3b3953834,therapeutic,atomic_intervention_claim,sensitivity,evidence:2621,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-311fb18411303def51f1,therapeutic,atomic_intervention_claim,sensitivity,evidence:883,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-32754dd8ee5d24de665b,therapeutic,atomic_intervention_claim,sensitivity,evidence:4285,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-347f2a636ebc43972ab8,therapeutic,atomic_intervention_claim,sensitivity,evidence:9225,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-35120fc8e653a16cae3b,therapeutic,atomic_intervention_claim,resistance,evidence:32,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-382985ec558808784e70,therapeutic,atomic_intervention_claim,sensitivity,evidence:11219,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-395b56e071be2f1cd458,therapeutic,atomic_intervention_claim,sensitivity,evidence:2629,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-3d26401c2cabcad4b409,therapeutic,atomic_intervention_claim,sensitivity,evidence:2157,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-3d66398af20ebdb6fcfe,therapeutic,atomic_intervention_claim,sensitivity,evidence:1918,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-3da7dfefece93692b2a2,therapeutic,atomic_intervention_claim,resistance,evidence:765,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-3e1055de8da3589f422e,therapeutic,atomic_intervention_claim,resistance,evidence:100003,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-3e6c02a630094d46aa2f,therapeutic,atomic_intervention_claim,resistance,evidence:1288,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-402da0a110fc725a7357,therapeutic,atomic_intervention_claim,sensitivity,evidence:4292,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-40e2238c622a9cf14d31,therapeutic,atomic_intervention_claim,resistance,evidence:1345,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-43229efd0cd8f2fd58d5,therapeutic,atomic_intervention_claim,sensitivity,evidence:7833,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-45252d017284be327abb,therapeutic,atomic_intervention_claim,sensitivity,evidence:1322,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-464501e94094614459f5,therapeutic,atomic_intervention_claim,resistance,evidence:1283,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-472dd2b146920f5d4bbb,therapeutic,atomic_intervention_claim,sensitivity,evidence:295,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-4a89bb28592af7ebaccf,therapeutic,regimen_claim,sensitivity,evidence:12131,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-4cede62c4212e907fd6b,therapeutic,atomic_intervention_claim,resistance,evidence:11114,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-4ffe85304f3ef5533b58,therapeutic,aggregate_intervention_claim,sensitivity,evidence:275,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-5071bb2d8657ac0fbed0,therapeutic,aggregate_intervention_claim,sensitivity,evidence:1853,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-54e1fcd65c57bfbf8d04,therapeutic,atomic_intervention_claim,sensitivity,evidence:4291,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-5842e19f516c618ca369,therapeutic,atomic_intervention_claim,sensitivity,evidence:6006,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-5ce49705979f72f174e9,therapeutic,regimen_claim,sensitivity,evidence:12156,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-5ce532268b4aa1661311,therapeutic,atomic_intervention_claim,resistance,evidence:841,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-5dd4a1aa178045142295,therapeutic,atomic_intervention_claim,sensitivity,evidence:7610,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-5e39ddbd23c5746264f7,therapeutic,atomic_intervention_claim,resistance,evidence:1333,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-6016e0878e055658200e,therapeutic,atomic_intervention_claim,sensitivity,evidence:11324,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-623fbb47cebad8976328,therapeutic,atomic_intervention_claim,sensitivity,evidence:966,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-641fb301b4c571840857,therapeutic,atomic_intervention_claim,resistance,evidence:236,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-6589bbb1c7d0cfd697d6,therapeutic,atomic_intervention_claim,sensitivity,evidence:12370,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-66222330cdbcd606ade6,therapeutic,atomic_intervention_claim,resistance,evidence:764,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-663000c84d6b985fb719,therapeutic,atomic_intervention_claim,sensitivity,evidence:11599,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-671a3db71e52d2725272,therapeutic,atomic_intervention_claim,sensitivity,evidence:11239,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-68b84650d65add6c5696,therapeutic,atomic_intervention_claim,sensitivity,evidence:296,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-697413898b93b6624a8e,therapeutic,atomic_intervention_claim,sensitivity,evidence:3791,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-6b6cb6d60b7c31270339,therapeutic,atomic_intervention_claim,sensitivity,evidence:2628,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-6dd643580d90e3256418,therapeutic,atomic_intervention_claim,sensitivity,evidence:2634,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-6fc5bc547b4e265836c6,therapeutic,atomic_intervention_claim,sensitivity,evidence:9220,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-728f11e9dc850967c300,therapeutic,atomic_intervention_claim,resistance,evidence:964,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-72a72763b0c1ccf3512c,therapeutic,atomic_intervention_claim,resistance,evidence:4288,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-7474a96f6853d8a73357,therapeutic,atomic_intervention_claim,resistance,evidence:1396,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-75b47fea10f5fe62aeb9,therapeutic,atomic_intervention_claim,resistance,evidence:1367,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-77fca870f09f851d4f72,therapeutic,atomic_intervention_claim,sensitivity,evidence:968,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-790948a83c30124a2f34,therapeutic,atomic_intervention_claim,sensitivity,evidence:1867,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-7e881311485d27d190e3,therapeutic,atomic_intervention_claim,sensitivity,evidence:6174,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-8123f39d601ee9937db7,therapeutic,atomic_intervention_claim,sensitivity,evidence:4290,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-843e89b50964ca33770c,therapeutic,atomic_intervention_claim,sensitivity,evidence:4293,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-85064970ba814ed52589,therapeutic,atomic_intervention_claim,sensitivity,evidence:5912,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-887e2a4a92b7333f70e8,therapeutic,atomic_intervention_claim,sensitivity,evidence:4265,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-89ea67ee7946d9ccd552,therapeutic,atomic_intervention_claim,sensitivity,evidence:229,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-8a0fde4cfe059b58dc01,therapeutic,atomic_intervention_claim,resistance,evidence:11115,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-8a72e4c49643e7390ec7,therapeutic,atomic_intervention_claim,resistance,evidence:125,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-8c2b38ce2d84f8ce226a,therapeutic,atomic_intervention_claim,resistance,evidence:3015,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-8f624d07e5180f958196,therapeutic,atomic_intervention_claim,sensitivity,evidence:4295,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-90a501c65b56cac3dfc0,therapeutic,atomic_intervention_claim,sensitivity,evidence:11021,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-90e863f00f134fc3cd3d,therapeutic,aggregate_intervention_claim,sensitivity,evidence:1851,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-91a6761b2d7bb2ab2961,therapeutic,atomic_intervention_claim,sensitivity,evidence:12946,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-92d4a7b3921ffd0e4136,therapeutic,atomic_intervention_claim,sensitivity,evidence:9224,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-94826841e612786f6ef9,therapeutic,atomic_intervention_claim,resistance,evidence:1339,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-9635ae8ef5a3d43f0967,therapeutic,atomic_intervention_claim,sensitivity,evidence:4861,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-96c2568e490e57c58ca6,therapeutic,atomic_intervention_claim,resistance,evidence:1346,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-975fe52b97e3161ec393,therapeutic,atomic_intervention_claim,sensitivity,evidence:100000,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-9809edffaf78c6bd7d9c,therapeutic,atomic_intervention_claim,sensitivity,evidence:4287,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-99092a3e4eb93a1319d4,therapeutic,atomic_intervention_claim,sensitivity,evidence:7261,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-99ae092a3018b5b91808,therapeutic,atomic_intervention_claim,resistance,evidence:841,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-9ab06b6945feea941252,therapeutic,atomic_intervention_claim,sensitivity,evidence:11240,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-9df70499be273bec95fb,therapeutic,atomic_intervention_claim,resistance,evidence:1287,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-9eba2ced894851bae9af,therapeutic,atomic_intervention_claim,resistance,evidence:100005,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-a20827c84bba1b0473e6,therapeutic,atomic_intervention_claim,sensitivity,evidence:879,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-a72d16a37bdcdd84496b,therapeutic,atomic_intervention_claim,sensitivity,evidence:1665,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-a756794f4dce5108d62c,therapeutic,atomic_intervention_claim,resistance,evidence:1351,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-a7de634d04f61036f3ec,therapeutic,atomic_intervention_claim,resistance,evidence:1350,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-a8076dedab5ae6db17c1,therapeutic,atomic_intervention_claim,sensitivity,evidence:4860,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-a9c010ef9db01551395e,therapeutic,atomic_intervention_claim,sensitivity,evidence:2626,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-ac64c0e56246f6ea29ca,therapeutic,regimen_claim,sensitivity,evidence:11240,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-af5265811e7ab991e7b1,therapeutic,atomic_intervention_claim,resistance,evidence:1347,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-b00c27c6d6a4ae35efb2,therapeutic,atomic_intervention_claim,sensitivity,evidence:11241,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-b048b180b566d127f5fc,therapeutic,atomic_intervention_claim,resistance,evidence:444,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-b26b5c1d60afee769d70,therapeutic,atomic_intervention_claim,sensitivity,evidence:4286,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-b30bfbffc36ec6a23cfc,therapeutic,atomic_intervention_claim,sensitivity,evidence:2997,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-b3902ab74a81a89f10e1,therapeutic,atomic_intervention_claim,sensitivity,evidence:2156,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-b9ff9e1341e5d8d5a432,therapeutic,atomic_intervention_claim,sensitivity,evidence:1605,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-bb07eb0bc70569e770c3,therapeutic,atomic_intervention_claim,resistance,evidence:4046,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-bb1e5f41161741c74f0d,therapeutic,atomic_intervention_claim,sensitivity,evidence:10325,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-bd4e24be0a4719119976,therapeutic,atomic_intervention_claim,resistance,evidence:1483,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-beb05cb9a445538bb755,therapeutic,atomic_intervention_claim,sensitivity,evidence:1913,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-c069e118a976c0332c60,therapeutic,atomic_intervention_claim,sensitivity,evidence:8173,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-c0b6cac2d322040eefe6,therapeutic,atomic_intervention_claim,sensitivity,evidence:2632,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-c2298624bea1ba7fac45,therapeutic,atomic_intervention_claim,resistance,evidence:4620,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-c7f106007dced3b3dec7,therapeutic,atomic_intervention_claim,resistance,evidence:843,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-c8f2a725bf5cfc8e98ca,therapeutic,atomic_intervention_claim,sensitivity,evidence:1592,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-cf53824b662b10f776df,therapeutic,atomic_intervention_claim,resistance,evidence:1286,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-d2a8d38b226371178d2a,therapeutic,atomic_intervention_claim,sensitivity,evidence:2631,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-d3828905e361102a59a0,therapeutic,atomic_intervention_claim,sensitivity,evidence:1920,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
