run_id,case_id,candidate_ids,canonical_statuses,narrative_verifier_status,narrative_text,automatic_reason_codes,reviewer_faithful,reviewer_added_information,reviewer_changed_status,reviewer_changed_polarity,reviewer_recommendation_language,reviewer_critical_omission,reviewer_notes
BENCH-BENCH-DOES_NOT_SUPPORT-10,BENCH-DOES_NOT_SUPPORT-10,GCA-BENCH-0010,AMBIGUOUS,PASS,"Il caso BENCH-DOES_NOT_SUPPORT-10 riguarda la valutazione terapeutica di PANITUMUMAB per pazienti con Colorectal Cancer e biomarcatore KRAS G12D. Il sistema ha analizzato una candidate associata, che risulta tuttavia ambigua e non supportata dalla documentazione selezionata. || Il sistema ha identificato una candidate che associa PANITUMUMAB alla sensibilità per il biomarcatore KRAS G12D nel contesto di Colorectal Cancer. Lo stato canonico di questa candidate è AMBIGUOUS. La fonte selezionata (EB-0010) non supporta la relazione; nello specifico, la citazione validata riporta che: ""patients with mutations did not respond to the agent in this cohort"". È presente un warning critico relativo alla polarità della fonte che non fornisce supporto.",,,,,,,,
BENCH-BENCH-DOES_NOT_SUPPORT-11,BENCH-DOES_NOT_SUPPORT-11,GCA-BENCH-0011,AMBIGUOUS,PASS,"Il caso BENCH-DOES_NOT_SUPPORT-11 riguarda la valutazione terapeutica di ENCORAFENIB per un paziente con Melanoma e biomarcatore BRAF V600E. Il sistema ha analizzato una candidate, la quale non ha ricevuto supporto documentale esplicito. || Il sistema ha identificato la candidate GCA-BENCH-0011, che associa nel Knowledge Graph il farmaco ENCORAFENIB a una sensibilità specifica. Lo stato canonico della candidate è AMBIGUOUS. Il documento selezionato EB-0011 non supporta la relazione proposta (SOURCE_DOES_NOT_SUPPORT). Nonostante la citazione validata riporti che ""the combination produced durable responses in a subset of patients"", la polarità della fonte non fornisce supporto alla candidate.",,,,,,,,
BENCH-BENCH-DOES_NOT_SUPPORT-12,BENCH-DOES_NOT_SUPPORT-12,GCA-BENCH-0012,AMBIGUOUS,PASS,"Il caso BENCH-DOES_NOT_SUPPORT-12 riguarda una valutazione terapeutica per Lung Squamous Cell Carcinoma con biomarcatore MSI-High, focalizzata sull'intervento NIVOLUMAB. Il sistema ha analizzato una candidate, la quale non ha trovato supporto documentale esplicito. || Il sistema ha identificato la candidate GCA-BENCH-0012, che associa nel Knowledge Graph il farmaco NIVOLUMAB a una sensibilità per il caso clinico in esame. Lo stato canonico di questa candidate è AMBIGUOUS. Il documento selezionato EB-0012 non supporta la relazione di sensibilità; nello specifico, la citazione validata riporta: ""no significant difference in progression free survival was observed"". La candidate è stata pertanto inserita nel WARNING_BUCKET a causa della polarità della fonte che non fornisce supporto.",,,,,,,,
BENCH-BENCH-DOES_NOT_SUPPORT-13,BENCH-DOES_NOT_SUPPORT-13,GCA-BENCH-0013,AMBIGUOUS,PASS,"Il caso BENCH-DOES_NOT_SUPPORT-13 riguarda la valutazione terapeutica di INFIGRATINIB per un paziente con Lymphoid Leukemia e FGFR1 Amplification. Il sistema ha analizzato una candidate, la quale non ha espresso supporto per la relazione ricercata. || Il sistema ha identificato la candidate GCA-BENCH-0013, che associa nel Knowledge Graph il farmaco INFIGRATINIB alla sensibilità per il caso clinico in esame. Lo stato canonico della candidate è AMBIGUOUS. Il documento selezionato EB-0013 non supporta la relazione di supporto (SOURCE_DOES_NOT_SUPPORT), come indicato dal warning SOURCE_POLARITY_DOES_NOT_SUPPORT. La citazione validata riporta: ""objective responses were reported in previously treated patients"".",,,,,,,,
BENCH-BENCH-DOES_NOT_SUPPORT-14,BENCH-DOES_NOT_SUPPORT-14,GCA-BENCH-0014,AMBIGUOUS,PASS,"Il caso BENCH-DOES_NOT_SUPPORT-14 riguarda una valutazione terapeutica per Gastric Cancer con HER2 Amplification, focalizzata sull'intervento CETUXIMAB. Il sistema ha analizzato una candidate associata, che risulta tuttavia ambigua e non supportata dalla documentazione selezionata. || Il sistema ha identificato la candidate GCA-BENCH-0014, che associa nel Knowledge Graph il farmaco CETUXIMAB alla sensibilità per Gastric Cancer in presenza di HER2 Amplification. Lo stato canonico di questa candidate è AMBIGUOUS. La fonte selezionata (documento EB-0014) non supporta la relazione di sensibilità; nello specifico, la citazione validata riporta: ""resistance emerged after a median of eight months of therapy"". È presente un warning critico relativo alla polarità della fonte che non supporta la candidate.",,,,,,,,
BENCH-BENCH-NO_VALIDATED_QUOTE-15,BENCH-NO_VALIDATED_QUOTE-15,GCA-BENCH-0015,AMBIGUOUS,PASS,"Il caso BENCH-NO_VALIDATED_QUOTE-15 riguarda la valutazione terapeutica per Colorectal Cancer in presenza del biomarcatore KRAS G12D, con focus sull'intervento PANITUMUMAB. Il sistema ha analizzato una candidate, che risulta tuttavia ambigua e priva di supporto documentale esplicito. || Il sistema ha identificato la candidate GCA-BENCH-0015, che associa nel Knowledge Graph il farmaco PANITUMUMAB a una sensibilità legata al caso clinico. Lo stato canonico della candidate è AMBIGUOUS. Per quanto riguarda il supporto documentale, il documento selezionato EB-0015 non fornisce segnali (NO_DOCUMENT_SIGNAL) e non è stata trovata alcuna citazione validata a supporto della relazione. Il sistema segnala l'assenza di arricchimenti validati disponibili (NO_VALIDATED_ENRICHMENT_AVAILABLE).",,,,,,,,
BENCH-BENCH-NO_VALIDATED_QUOTE-16,BENCH-NO_VALIDATED_QUOTE-16,GCA-BENCH-0016,AMBIGUOUS,PASS,"Il caso BENCH-NO_VALIDATED_QUOTE-16 riguarda la valutazione terapeutica per un paziente con Melanoma e biomarcatore BRAF V600E, con focus sull'intervento ENCORAFENIB. Il sistema ha analizzato una candidate associata, ma non ha riscontrato supporto documentale esplicito. || Il sistema ha identificato la candidate GCA-BENCH-0016, che associa nel Knowledge Graph il farmaco ENCORAFENIB a una sensibilità per il caso in esame. Lo stato canonico della candidate è AMBIGUOUS. Per quanto riguarda il supporto documentale, il documento selezionato EB-0016 non fornisce segnali (NO_DOCUMENT_SIGNAL) e non è stata trovata alcuna citazione validata a supporto della relazione. La candidate è stata inserita nel WARNING_BUCKET a causa dell'assenza di arricchimenti validati (NO_VALIDATED_ENRICHMENT_AVAILABLE).",,,,,,,,
BENCH-BENCH-NO_VALIDATED_QUOTE-17,BENCH-NO_VALIDATED_QUOTE-17,GCA-BENCH-0017,AMBIGUOUS,PASS,"Il caso BENCH-NO_VALIDATED_QUOTE-17 riguarda una valutazione terapeutica per Lung Squamous Cell Carcinoma con biomarcatore MSI-High, focalizzata sull'intervento NIVOLUMAB. Il sistema ha analizzato una candidate associata, ma non ha riscontrato supporto documentale esplicito. || Il sistema ha identificato una candidate che associa NIVOLUMAB a una sensibilità nel contesto di Lung Squamous Cell Carcinoma e MSI-High. Lo stato canonico della candidate è AMBIGUOUS. Per quanto riguarda il supporto documentale, il sistema rileva l'assenza di un segnale nel documento selezionato (EB-0017), il quale non contiene passaggi rilevanti. Non è stata trovata alcuna citazione validata a supporto di questa relazione e il sistema segnala l'assenza di arricchimenti validati (NO_VALIDATED_ENRICHMENT_AVAILABLE).",,,,,,,,
BENCH-BENCH-NO_VALIDATED_QUOTE-18,BENCH-NO_VALIDATED_QUOTE-18,GCA-BENCH-0018,AMBIGUOUS,PASS,"Il caso BENCH-NO_VALIDATED_QUOTE-18 riguarda una valutazione terapeutica per Lymphoid Leukemia in presenza di FGFR1 Amplification, con focus sull'intervento INFIGRATINIB. Il sistema ha analizzato una candidate, la quale risulta avere uno stato canonico ambiguo e priva di supporto documentale esplicito. || Il sistema ha identificato la candidate GCA-BENCH-0018, che associa nel Knowledge Graph il farmaco INFIGRATINIB a una sensibilità legata al caso clinico. Lo stato canonico della candidate è AMBIGUOUS. Per quanto riguarda il supporto documentale, il documento selezionato EB-0018 non fornisce segnali (NO_DOCUMENT_SIGNAL) e non è stata trovata alcuna citazione validata a supporto della relazione. Il sistema segnala l'assenza di arricchimenti validati disponibili (NO_VALIDATED_ENRICHMENT_AVAILABLE).",,,,,,,,
BENCH-BENCH-NO_VALIDATED_QUOTE-19,BENCH-NO_VALIDATED_QUOTE-19,GCA-BENCH-0019,AMBIGUOUS,PASS,"Il caso BENCH-NO_VALIDATED_QUOTE-19 riguarda la valutazione terapeutica per Gastric Cancer in presenza di HER2 Amplification, con focus sull'intervento CETUXIMAB. Il sistema ha analizzato una candidate, la quale risulta avere uno stato ambiguo e priva di supporto documentale esplicito. || Il sistema ha identificato la candidate GCA-BENCH-0019, che associa nel Knowledge Graph il farmaco CETUXIMAB a una sensibilità specifica. Lo stato canonico di questa candidate è AMBIGUOUS. Per quanto riguarda il supporto documentale, il documento selezionato EB-0019 non fornisce segnali (NO_DOCUMENT_SIGNAL) e non è stata trovata alcuna citazione validata a supporto della relazione. La candidate è stata inserita nel WARNING_BUCKET a causa dell'assenza di arricchimenti validati (NO_VALIDATED_ENRICHMENT_AVAILABLE).",,,,,,,,
BENCH-BENCH-MULTI_CANDIDATE-20,BENCH-MULTI_CANDIDATE-20,GCA-BENCH-0020;GCA-BENCH-0020-B,DIRECT;AMBIGUOUS,PASS,"Il sistema ha analizzato il caso BENCH-MULTI_CANDIDATE-20 relativo a Colorectal Cancer e al biomarcatore KRAS G12D per la valutazione di PANITUMUMAB. Sono state identificate due candidate: una con stato canonico DIRECT e supporto documentale, e una con stato AMBIGUOUS per mancanza di segnale nei documenti. || Il sistema ha identificato la candidate GCA-BENCH-0020, che associa nel Knowledge Graph PANITUMUMAB alla sensibilità per il biomarcatore KRAS G12D nel contesto di Colorectal Cancer. Lo stato canonico della candidate è DIRECT e la direzione del supporto è SUPPORTED. Il documento EB-0020 è stato selezionato come fonte e riporta la seguente citazione validata: ""patients with mutations did not respond to the agent in this cohort"". || La candidate GCA-BENCH-0020-B associa PANITUMUMAB alla sensibilità per KRAS G12D in Colorectal Cancer, ma lo stato canonico è AMBIGUOUS. Il sistema indica che non è stato trovato supporto documentale esplicito (NO_DOCUMENT_SIGNAL) e non è disponibile alcuna citazione validata (NO_VALIDATED_ENRICHMENT_AVAILABLE). La relazione rimane ambigua a causa dell'assenza di passaggi rilevanti nel documento EB-0020.",,,,,,,,
BENCH-BENCH-MULTI_CANDIDATE-21,BENCH-MULTI_CANDIDATE-21,GCA-BENCH-0021;GCA-BENCH-0021-B,DIRECT;AMBIGUOUS,PASS,"Il caso BENCH-MULTI_CANDIDATE-21 riguarda la valutazione terapeutica di ENCORAFENIB per un paziente con Melanoma e biomarcatore BRAF V600E. Il sistema ha analizzato due candidate, di cui una risulta supportata dai documenti e l'altra rimane ambigua per mancanza di segnale documentale. || Il sistema ha identificato la candidate GCA-BENCH-0021, che associa ENCORAFENIB a una sensibilità nel contesto di Melanoma e BRAF V600E. Lo stato canonico della candidate è DIRECT e la direzione del supporto è SUPPORTED. Il documento EB-0021 fornisce supporto a questa relazione, come riportato nella citazione validata: ""the combination produced durable responses in a subset of patients"". || La candidate GCA-BENCH-0021-B, relativa a ENCORAFENIB, presenta uno stato canonico AMBIGUOUS. Il sistema indica che non è stato trovato un segnale documentale esplicito (NO_DOCUMENT_SIGNAL) per supportare la direzione della relazione. È presente un warning critico: non è disponibile alcun arricchimento validato (NO_VALIDATED_ENRICHMENT_AVAILABLE) e non sono state reperite citazioni validate nel documento EB-0021.",,,,,,,,
BENCH-BENCH-MULTI_CANDIDATE-22,BENCH-MULTI_CANDIDATE-22,GCA-BENCH-0022;GCA-BENCH-0022-B,DIRECT;AMBIGUOUS,PASS,"Il caso BENCH-MULTI_CANDIDATE-22 riguarda la valutazione terapeutica di NIVOLUMAB per un paziente con Lung Squamous Cell Carcinoma e biomarcatore MSI-High. Il sistema ha analizzato due candidate: una con stato canonico DIRECT e supporto documentale, e una con stato AMBIGUOUS e assenza di segnale documentale. || Il sistema ha identificato la candidate GCA-BENCH-0022, che associa NIVOLUMAB a una sensibilità nel contesto di Lung Squamous Cell Carcinoma e biomarcatore MSI-High. Lo stato canonico della candidate è DIRECT e la direzione del supporto è SUPPORTED. Il documento EB-0022 è stato selezionato a supporto di questa relazione; tuttavia, la citazione validata riporta letteralmente: ""no significant difference in progression free survival was observed"". || La candidate GCA-BENCH-0022-B, relativa a NIVOLUMAB, presenta uno stato canonico AMBIGUOUS. Il sistema indica che non è stato trovato alcun segnale documentale (NO_DOCUMENT_SIGNAL) per supportare la direzione della relazione. È presente un warning critico poiché non è disponibile alcun arricchimento validato (NO_VALIDATED_ENRICHMENT_AVAILABLE) e non sono state reperite citazioni validate nel documento EB-0022.",,,,,,,,
BENCH-BENCH-MULTI_CANDIDATE-23,BENCH-MULTI_CANDIDATE-23,GCA-BENCH-0023;GCA-BENCH-0023-B,DIRECT;AMBIGUOUS,PASS,"Il caso BENCH-MULTI_CANDIDATE-23 riguarda la valutazione terapeutica di INFIGRATINIB per un paziente con Lymphoid Leukemia e FGFR1 Amplification. Il sistema ha analizzato due candidate: una risulta supportata dai documenti, l'altra rimane ambigua per mancanza di evidenze. || Il sistema ha identificato la candidate GCA-BENCH-0023, che associa INFIGRATINIB a una sensibilità nel contesto di Lymphoid Leukemia e FGFR1 Amplification. Lo stato canonico è DIRECT e la relazione è SUPPORTED. Il documento EB-0023 fornisce supporto documentale, come indicato dalla citazione validata: ""objective responses were reported in previously treated patients"". || La candidate GCA-BENCH-0023-B, relativa a INFIGRATINIB, presenta uno stato canonico AMBIGUOUS. Il sistema ha rilevato l'assenza di un segnale documentale (NO_DOCUMENT_SIGNAL) e non è stata trovata alcuna citazione validata a supporto. È presente un warning critico: NO_VALIDATED_ENRICHMENT_AVAILABLE.",,,,,,,,
BENCH-BENCH-MULTI_CANDIDATE-24,BENCH-MULTI_CANDIDATE-24,GCA-BENCH-0024;GCA-BENCH-0024-B,DIRECT;AMBIGUOUS,PASS,"Il caso BENCH-MULTI_CANDIDATE-24 riguarda la valutazione terapeutica di CETUXIMAB per un paziente con Gastric Cancer e HER2 Amplification. Il sistema ha analizzato due candidate: una risulta supportata dai documenti, l'altra rimane ambigua per mancanza di segnale documentale. || Il sistema ha identificato la candidate GCA-BENCH-0024, che associa CETUXIMAB a una sensibilità nel contesto di Gastric Cancer e HER2 Amplification. Lo stato canonico della candidate è DIRECT e la relazione risulta SUPPORTED. Il documento EB-0024 fornisce supporto a questa associazione; la citazione validata riporta: ""resistance emerged after a median of eight months of therapy"". || La candidate GCA-BENCH-0024-B, relativa a CETUXIMAB, presenta uno stato canonico AMBIGUOUS. Il sistema indica che non è stato trovato un segnale documentale esplicito (NO_DOCUMENT_SIGNAL) nel documento EB-0024 per supportare la relazione. È presente un warning critico: non è disponibile alcun arricchimento validato (NO_VALIDATED_ENRICHMENT_AVAILABLE) e non sono state reperite citazioni validate.",,,,,,,,
